gene	SRR2038194	SRR2038195	SRR2038196	SRR2038197
Serpinb12	4272	6923	5831	3111
Serpinb13	130	187	5	0
Serpinb3a	170	244	2	2
Serpinb3d	31	40	0	1
Serpinb3b	14	34	0	0
Serpinb3c	241	295	3	7
Serpinb11	353	566	63	64
Serpinb7	374	531	707	373
Serpinb2	3233	4911	7880	4089
Serpinb10-ps	1240	1475	3595	1813
Serpinb8	353	593	80	44
Cdh7	13	21	4	1
Cdh19	6	8	0	2
Dsel	236	189	185	72
Cntnap5a	83	137	85	60
Tsn	1171	1810	1836	1112
Mki67ip	741	928	905	494
Clasp1	3019	4342	5559	3379
2900060B14Rik	11	29	16	4
Tfcp2l1	2218	4033	4517	3597
Gli2	318	429	182	147
Inhbb	1939	3738	1628	1312
Ralb	2593	3999	4023	2284
Tmem185b	595	990	741	500
Epb4.1l5	796	1005	1101	637
Ptpn4	664	636	1070	364
Tmem177	70	208	90	118
Gm101	23	51	2	2
Sctr	23	43	1	0
Tmem37	247	527	117	160
Dbi	1585	2863	1444	1243
3110009E18Rik	62	75	52	23
Steap3	267	439	105	59
C1ql2	75	159	5	5
Marco	564	885	59	46
En1	94	154	16	10
B230209K01Rik	1	0	0	0
Insig2	1252	2069	2110	1294
Ccdc93	626	1238	532	399
Htr5b	31	64	0	0
Ddx18	398	510	515	256
Dpp10	3893	4785	12395	6366
Actr3	3318	4276	5345	2519
Slc35f5	458	754	496	335
Gpr39	10	25	1	0
Lypd1	27	84	29	19
Nckap5	354	462	305	143
Mgat5	835	1198	1125	589
Tmem163	175	313	151	97
Acmsd	32	78	2	8
2900009J06Rik	12	23	17	14
Ccnt2	1349	2251	1652	1173
Ysk4	505	1034	599	445
Rab3gap1	1779	2671	2952	1723
Zranb3	225	362	164	89
R3hdm1	2046	2609	2861	1534
Mir128-1	0	0	0	0
Ubxn4	2268	2963	2912	1652
Lct	102	222	32	15
Mcm6	1936	2452	2366	1287
Dars	1659	2086	2262	1186
Cxcr4	309	578	251	250
Thsd7b	1117	1438	796	423
Daf2	7	16	2	3
Cd55	294	604	101	89
Zp3r	9	15	0	0
C4bp	171	370	20	43
C4bp-ps1	3	5	0	0
Pfkfb2	722	1134	737	471
Yod1	253	239	316	109
AA986860	260	570	277	209
Fcamr	338	372	36	18
Pigr	2367	5778	627	661
Faim3	25	56	1	2
Il24	175	253	1	0
Il20	1	4	0	0
Il19	28	54	6	4
Il10	144	198	94	82
Mapkapk2	3143	3331	3996	1810
Dyrk3	285	170	287	54
Eif2d	880	1391	1199	767
Rassf5	636	894	506	277
Ikbke	1693	3527	2519	1762
Srgap2	742	1184	882	497
Fam72a	34	60	24	48
Avpr1b	17	34	1	1
Ctse	206	355	85	82
5430435G22Rik	71	125	62	23
Slc26a9	883	1185	223	119
Pm20d1	185	333	229	176
Slc41a1	6787	6761	10664	4975
Rab7l1	680	853	1590	849
Nucks1	2050	2598	2743	1529
Slc45a3	636	908	210	119
Elk4	993	928	1243	456
Mfsd4	1712	2752	2899	1680
Cdk18	1240	1868	1084	676
Lemd1	29	52	13	6
Mir135b	0	1	0	0
Klhdc8a	1650	2642	4955	2715
Nuak2	1311	1962	1373	764
Tmcc2	518	1201	574	426
Dstyk	450	966	316	301
Rbbp5	612	1149	884	612
Tmem81	42	81	69	65
Cntn2	529	916	53	38
Nfasc	6071	9175	14063	8792
Gm10538	5	4	8	4
Lrrn2	40	50	4	1
Mdm4	1803	3368	2621	1977
Pik3c2b	583	1276	392	315
Ppp1r15b	4915	4508	7869	2994
Plekha6	1113	1908	721	493
Gm19461	142	187	263	178
Golt1a	20	46	2	2
Kiss1	22	39	0	1
Ren2	0	2	0	0
Ren1	1	0	0	0
Etnk2	49	83	4	5
Sox13	117	184	74	39
Snrpe	583	660	790	333
Zc3h11a	3306	4167	4077	2126
Zbed6	1990	2037	2297	1007
Lax1	139	157	128	63
Atp2b4	6474	9388	10736	5639
Optc	530	623	792	480
Prelp	301	410	64	39
Fmod	152	232	39	21
Btg2	3986	4433	3839	1845
Chit1	506	678	32	32
Chi3l1	813	2011	584	573
Mybph	61	204	63	36
Adora1	238	357	169	124
Myog	179	346	337	249
Ppfia4	447	738	322	189
Tmem183a	1661	2095	2639	1328
4933406M09Rik	5	5	0	1
Cyb5r1	482	663	733	450
Adipor1	2725	3776	4698	2538
Klhl12	503	738	560	375
Rabif	592	942	753	472
4931440L10Rik	4	11	0	0
Kdm5b	1756	2360	1718	857
Syt2	83	119	5	2
